uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-1813-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1813-grado-en-ingenieria-de-las-industrias-agrarias-y-alimentarias,7.25,13,,3,13,3,,16,,5.102,Indicadores DemandaUniversitaria 2022 GRADO EN INGENIERÍA DE LAS INDUSTRIAS AGRARIAS Y ALIMENTARIAS (1813),,,,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-1890-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1890-doble-grado-en-educacion-primaria-y-educacion-infantil,,1,,7,1,7,,8,,6.906,Indicadores DemandaUniversitaria 2022 DOBLE GRADO EN EDUCACIÓN PRIMARIA / EDUCACIÓN INFANTIL (1890),,,,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-1812-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/1812-mu-en-psicopedagogia,,5,2,16,5,16,6.55,19,,,Indicadores DemandaUniversitaria 2022 MÁSTER UNIVERSITARIO EN PSICOPEDAGOGÍA (1812),,,,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-7002-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/7002-mu-en-endoscopia-y-cirugia-de-minima-invasion-en-pequenos-animales,,11,5,3,11,3,,9,,,Indicadores DemandaUniversitaria 2022 MÁSTER UNIVERSITARIO EN ENDOSCOPIA Y CIRUGÍA DE MÍNIMA INVASIÓN EN PEQUEÑOS ANIMALES (7002),,,,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-0210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0210-grado-en-enfermeria-badajoz,7.5,13,1,66,13,68,8.69,80,9.27,11.494,Indicadores DemandaUniversitaria 2022 GRADO EN ENFERMERÍA (BADAJOZ) (0210),7.48,,5.6,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,35,4,85,35,87,9.58,118,6.773,13.1,Indicadores DemandaUniversitaria 2022 GRADO EN MEDICINA (0212),5.35,,5.9,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,9,25,2,69,28,72,,98,10.3,11.192,Indicadores DemandaUniversitaria 2022 GRADO EN ENFERMERÍA (CÁCERES) (1305),7.55,,7.124,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-1210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1210-grado-en-enfermeria-plasencia,7.5,18,2,81,19,82,9.25,99,,10.858,Indicadores DemandaUniversitaria 2022 GRADO EN ENFERMERÍA (PLASENCIA) (1210),8.08,,6.375,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-0624-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0624-grado-en-psicologia,,17,1,53,18,56,9.27,73,,11.031,Indicadores DemandaUniversitaria 2022 GRADO EN PSICOLOGÍA (0624),6.85,,6.547,2021-2022
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2022-0310-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0310-grado-en-criminologia,,6,,15,6,18,6.47,24,,11.092,Indicadores DemandaUniversitaria 2022 GRADO EN CRIMINOLOGÍA (0310),5,,8.533,2021-2022
