uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,35,10,85,39,88,9.5,117,8.406,12.214,Indicadores DemandaUniversitaria 2018 GRADO EN MEDICINA (0212),6.75,,8.534,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-0210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0210-grado-en-enfermeria-badajoz,7.25,18,1,62,18,66,7.573,83,,9.436,Indicadores DemandaUniversitaria 2018 GRADO EN ENFERMERÍA (BADAJOZ) (0210),7.775,,7.876,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,9.5,14,,80,14,87,8.413,101,,8.336,Indicadores DemandaUniversitaria 2018 GRADO EN ENFERMERÍA (CÁCERES) (1305),6.825,,7,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-1006-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1006-grado-en-veterinaria,,35,3,56,37,60,,94,,10.496,Indicadores DemandaUniversitaria 2018 GRADO EN VETERINARIA (1006),6.45,,7.174,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-1010-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1010-grado-en-bioquimica,,21,2,23,21,23,,42,,8.575,Indicadores DemandaUniversitaria 2018 GRADO EN BIOQUÍMICA (1010),6.35,,12.304,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-1632-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1632-grado-en-ingenieria-informatica-en-ingenieria-del-software,,74,1,6,80,6,,85,,6.839,Indicadores DemandaUniversitaria 2018 GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE (1632),6.2,,7.261,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-0136-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0136-grado-en-biotecnologia,,17,,27,18,27,,45,,9.2,Indicadores DemandaUniversitaria 2018 GRADO EN BIOTECNOLOGÍA (0136),8.8,,11.314,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-0724-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0724-grado-en-educacion-primaria-modalidad-bilingue-espanol-ingles,,27,1,43,27,43,,69,8.25,5.43,Indicadores DemandaUniversitaria 2018 GRADO EN EDUCACIÓN PRIMARIA. Modalidad Bilingüe (Español-Inglés) (0724),,,8.738,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-0624-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0624-grado-en-psicologia,,19,,51,19,55,8.656,74,,9.614,Indicadores DemandaUniversitaria 2018 GRADO EN PSICOLOGÍA (0624),,,5.546,2017-2018
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2018-0391-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0391-pceo-criminologia-y-derecho,5,14,1,22,14,22,,35,,8.134,Indicadores DemandaUniversitaria 2018 PCEO: CRIMINOLOGÍA / DERECHO (0391),,,6.64,2017-2018
