uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1407-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1407-grado-en-administracion-y-direccion-de-empresas-caceres,,69,2,82,71,84,6.727,153,,5.64,Indicadores DemandaUniversitaria 2012 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CÁCERES) (1407),7.75,6.32,6,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1706-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1706-grado-en-informacion-y-documentacion,,33,,24,40,42,8.64,82,,5.092,Indicadores DemandaUniversitaria 2012 GRADO EN INFORMACIÓN Y DOCUMENTACIÓN (1706),6.275,5.6,5,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0816-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0816-grado-en-ingenieria-electrica-rama-industrial,,66,,4,66,4,,70,,6.09,Indicadores DemandaUniversitaria 2012 GRADO EN INGENIERÍA ELÉCTRICA (RAMA INDUSTRIAL) (0816),5.95,7,8.464,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0211-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0211-grado-en-fisioterapia,,21,1,43,21,45,8.02,65,7.222,9.456,Indicadores DemandaUniversitaria 2012 GRADO EN FISIOTERAPIA (0211),7.1,,6.5,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,50,,90,55,94,8.651,149,9.828,11.758,Indicadores DemandaUniversitaria 2012 GRADO EN MEDICINA (0212),8.3,,6.08,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0903-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0903-grado-en-ciencias-de-la-actividad-fisica-y-del-deporte,,78,1,12,81,12,,92,5.514,8.626,Indicadores DemandaUniversitaria 2012 GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE (0903),5.6,,9.368,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0616-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0616-grado-en-educacion-infantil-badajoz,5.75,24,1,148,24,148,7,171,,5,Indicadores DemandaUniversitaria 2012 GRADO EN EDUCACIÓN INFANTIL (BADAJOZ) (0616),5,,6.922,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,6.75,136,3,179,139,186,6.988,322,,5,Indicadores DemandaUniversitaria 2012 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),5,,5.098,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1006-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1006-grado-en-veterinaria,,43,2,56,46,57,8.256,101,,8.986,Indicadores DemandaUniversitaria 2012 GRADO EN VETERINARIA (1006),7.35,,8.218,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-2005-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/2005-grado-en-enfermeria-ses-badajoz,,9,,32,10,34,8.095,44,,9.418,Indicadores DemandaUniversitaria 2012 GRADO EN ENFERMERÍA (S.E.S. - BADAJOZ) (2005),8.15,,7.44,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1306-grado-en-terapia-ocupacional,5.75,11,1,53,11,53,,63,,6.882,Indicadores DemandaUniversitaria 2012 GRADO EN TERAPIA OCUPACIONAL (1306),5.975,,6.67,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1632-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1632-grado-en-ingenieria-informatica-en-ingenieria-del-software,,68,2,10,68,10,,76,,5,Indicadores DemandaUniversitaria 2012 GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE (1632),5.425,,7.02,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1190-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1190-pceo-administracion-y-direccion-de-empresas-y-derecho,,44,2,36,44,36,7.556,78,,6.108,Indicadores DemandaUniversitaria 2012 PCEO: ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS / DERECHO (1190),,,6.804,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1112-grado-en-administracion-y-direccion-de-empresas-badajoz,,137,3,131,145,139,7.674,281,,5,Indicadores DemandaUniversitaria 2012 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (BADAJOZ) (1112),5.13,6.75,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1113-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1113-grado-en-relaciones-laborales-y-recursos-humanos,,53,1,60,69,83,5.93,151,,5.004,Indicadores DemandaUniversitaria 2012 GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (1113),5.82,6.57,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,119,2,134,119,135,6.264,252,5.746,5.015,Indicadores DemandaUniversitaria 2012 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),5.45,,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0305-grado-en-administracion-y-gestion-publica,5.75,32,2,50,32,50,8.146,80,,5,Indicadores DemandaUniversitaria 2012 GRADO EN ADMINISTRACIÓN Y GESTIÓN PÚBLICA (0305),5.075,,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0306-grado-en-derecho,8,56,1,63,59,69,7.019,127,,5.672,Indicadores DemandaUniversitaria 2012 GRADO EN DERECHO (0306),5.625,,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0715-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0715-grado-en-educacion-social,6,7,1,71,8,75,8.625,82,,6.456,Indicadores DemandaUniversitaria 2012 GRADO EN EDUCACIÓN SOCIAL (0715),5.925,,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0716-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,,17,2,153,17,155,7.29,170,,5.05,Indicadores DemandaUniversitaria 2012 GRADO EN EDUCACIÓN INFANTIL (CÁCERES) (0716),5.35,,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-0818-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0818-grado-en-ingenieria-mecanica-rama-industrial,,65,1,10,67,10,6.65,76,,7.32,Indicadores DemandaUniversitaria 2012 GRADO EN INGENIERÍA MECÁNICA (RAMA INDUSTRIAL) (0818),6.875,,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1212-grado-en-podologia,,23,1,42,23,42,7.2,64,,5,Indicadores DemandaUniversitaria 2012 GRADO EN PODOLOGÍA (1212),5.25,,,2011-2012
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2012-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,,23,1,73,24,74,8.982,97,,8.444,Indicadores DemandaUniversitaria 2012 GRADO EN ENFERMERÍA (CÁCERES) (1305),6.725,,,2011-2012
