uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,8,40,9,92,42,92,9.63,125,11.368,12.945,Indicadores DemandaUniversitaria 2025 GRADO EN MEDICINA (0212),8.85,,6,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,7.75,25,1,69,25,71,9.045,95,8.824,11.275,Indicadores DemandaUniversitaria 2025 GRADO EN ENFERMERÍA (CÁCERES) (1305),8.23,,10.198,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-0210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0210-grado-en-enfermeria-badajoz,8,22,1,58,22,60,8.85,81,,11.695,Indicadores DemandaUniversitaria 2025 GRADO EN ENFERMERÍA (BADAJOZ) (0210),8.28,,7.91,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-0624-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0624-grado-en-psicologia,5.5,12,1,58,13,60,8.629,72,,11.611,Indicadores DemandaUniversitaria 2025 GRADO EN PSICOLOGÍA (0624),6.38,,10.1,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-1511-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1511-grado-en-enfermeria-merida,8.75,13,,42,15,43,9.6,58,,11.261,Indicadores DemandaUniversitaria 2025 GRADO EN ENFERMERÍA (MÉRIDA) (1511),7.2,,7.93,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,56,2,84,64,87,7.9,149,8.737,6.93,Indicadores DemandaUniversitaria 2025 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),,,9.364,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-0140-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0140-grado-en-fisica,,28,,12,29,13,6.318,42,13.28,10.946,Indicadores DemandaUniversitaria 2025 GRADO EN FÍSICA (0140),,,8.336,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-0306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0306-grado-en-derecho,,35,2,75,38,81,6.678,117,,7.253,Indicadores DemandaUniversitaria 2025 GRADO EN DERECHO (0306),,,11.228,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-1808-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1808-grado-en-educacion-infantil-almendralejo,,1,,8,1,9,,10,,7.083,Indicadores DemandaUniversitaria 2025 GRADO EN EDUCACIÓN INFANTIL (ALMENDRALEJO) (1808),,,8.21,2024-2025
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2025-1112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1112-grado-en-administracion-y-direccion-de-empresas-badajoz,,77,6,44,77,45,6.235,116,,5,Indicadores DemandaUniversitaria 2025 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (BADAJOZ) (1112),7.08,6.7,,2024-2025
