uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-1112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1112-grado-en-administracion-y-direccion-de-empresas-badajoz,6,142,3,132,185,190,5.8,355,,5.118,Indicadores DemandaUniversitaria 2013 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (BADAJOZ) (1112),8.75,5.72,5.714,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-1408-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1408-grado-en-turismo,,33,1,34,34,37,5.98,67,,5.094,Indicadores DemandaUniversitaria 2013 GRADO EN TURISMO (1408),,5.96,7.522,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0211-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0211-grado-en-fisioterapia,,26,1,40,35,56,7.583,90,5.54,10.29,Indicadores DemandaUniversitaria 2013 GRADO EN FISIOTERAPIA (0211),7.925,,5.896,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,51,14,88,56,97,9.275,140,5.964,11.95,Indicadores DemandaUniversitaria 2013 GRADO EN MEDICINA (0212),8.2,,6.159,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0715-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0715-grado-en-educacion-social,,7,,78,8,82,7.688,90,6.786,6.608,Indicadores DemandaUniversitaria 2013 GRADO EN EDUCACIÓN SOCIAL (0715),8.475,,7.44,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-1407-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1407-grado-en-administracion-y-direccion-de-empresas-caceres,7.25,76,6,63,97,89,7.903,177,,5.73,Indicadores DemandaUniversitaria 2013 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CÁCERES) (1407),7.5,,5,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,,113,1,161,119,166,6.985,284,,5,Indicadores DemandaUniversitaria 2013 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),5,,5.976,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-1512-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1512-grado-en-ingenieria-en-diseno-industrial-y-desarrollo-de-productos,,18,1,9,20,9,,28,,5.418,Indicadores DemandaUniversitaria 2013 GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS (1512),5.676,,7,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-1632-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1632-grado-en-ingenieria-informatica-en-ingenieria-del-software,,58,1,15,62,16,,77,,5.92,Indicadores DemandaUniversitaria 2013 GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE (1632),5,,10,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0716-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,,18,,119,18,119,,137,,5,Indicadores DemandaUniversitaria 2013 GRADO EN EDUCACIÓN INFANTIL (CÁCERES) (0716),5.01,,6.338,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0428-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0428-grado-en-historia-y-patrimonio-historico,8.75,38,1,20,40,21,5.624,60,,5.264,Indicadores DemandaUniversitaria 2013 GRADO EN HISTORIA Y PATRIMONIO HISTÓRICO (0428),,,7.218,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-1209-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1209-grado-en-administracion-y-direccion-de-empresas-plasencia,,32,1,40,46,52,8.294,97,,5.05,Indicadores DemandaUniversitaria 2013 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (PLASENCIA) (1209),5.64,5.93,,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-1113-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1113-grado-en-relaciones-laborales-y-recursos-humanos,7,42,,55,54,78,6.624,127,,5.04,Indicadores DemandaUniversitaria 2013 GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (1113),6.1,6.04,,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0817-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0817-grado-en-ingenieria-electronica-y-automatica-rama-industrial,,66,2,11,68,11,,77,,5.268,Indicadores DemandaUniversitaria 2013 GRADO EN INGENIERÍA ELECTRÓNICA Y AUTOMÁTICA (RAMA INDUSTRIAL) (0817),6.65,5.07,,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-1807-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1807-grado-en-trabajo-social,,2,,8,6,39,,45,,5.278,Indicadores DemandaUniversitaria 2013 GRADO EN TRABAJO SOCIAL (1807),5.07,5.5,,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,99,,105,102,105,7.342,207,5.736,5.008,Indicadores DemandaUniversitaria 2013 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),5.025,,,2012-2013
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2013-0903-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0903-grado-en-ciencias-de-la-actividad-fisica-y-del-deporte,,77,,12,85,14,7.24,99,6.814,8.82,Indicadores DemandaUniversitaria 2013 GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE (0903),5.45,,,2012-2013
