uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0111-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Ingenieria/0111-ingenieria-quimica,,8,,10,9,11,,,,,Indicadores DemandaUniversitaria 2009 INGENIERÍA QUIMICA (0111),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0112-licenciado-en-fisica-plan-1999,,9,,4,11,4,,,,,Indicadores DemandaUniversitaria 2009 LICENCIADO EN FISICA (PLAN 1999) (0112),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0113-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0113-licenciatura-en-quimica-plan-1998,,8,,19,9,20,,,,,Indicadores DemandaUniversitaria 2009 LICENCIATURA EN QUIMICA (PLAN 1998) (0113),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0114-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0114-licenciatura-en-matematicas-plan-1998,,10,,18,11,18,,,,,Indicadores DemandaUniversitaria 2009 LICENCIATURA EN MATEMATICAS (PLAN 1998) (0114),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0115-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0115-licenciatura-en-enologia,,7,,8,7,8,,,,,Indicadores DemandaUniversitaria 2009 LICENCIATURA EN ENOLOGIA (0115),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0116-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0116-licenciatura-en-ciencias-ambientales,,19,,12,19,12,,,,,Indicadores DemandaUniversitaria 2009 LICENCIATURA EN CIENCIAS AMBIENTALES (0116),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0117-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0117-licenciatura-en-ciencias-y-tecnicas-estadisticas,,4,,2,4,3,,,,,Indicadores DemandaUniversitaria 2009 LICENCIATURA EN CIENCIAS Y TECNICAS ESTADISTICAS (0117),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0118-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0118-licenciatura-en-biologia-plan-1999,,40,,60,43,62,,,,,Indicadores DemandaUniversitaria 2009 LICENCIATURA EN BIOLOGIA (PLAN 1999) (0118),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0204-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Diplomatura/0204-diplomatura-en-fisioterapia,,22,,41,23,42,,,,,Indicadores DemandaUniversitaria 2009 DIPLOMATURA EN FISIOTERAPIA (0204),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0205-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0205-licenciado-en-medicina,,47,,85,49,97,,,,,Indicadores DemandaUniversitaria 2009 LICENCIADO EN MEDICINA (0205),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0206-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Diplomatura/0206-diplomado-en-enfermeria-plan-1999-badajoz-fac-medicina,,9,,31,9,36,,,,,Indicadores DemandaUniversitaria 2009 DIPLOMADO EN ENFERMERÍA (PLAN 1999) - BADAJOZ - FAC. MEDICINA (0206),,,,2008-2009
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2009-0303-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Diplomatura/0303-diplomado-en-gestion-y-administracion-publica-plan-1998,,23,,36,24,39,,,,,Indicadores DemandaUniversitaria 2009 DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (PLAN 1998) (0303),,,,2008-2009
