uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,8.25,41,11,79,45,82,9.58,116,9.805,12.326,Indicadores DemandaUniversitaria 2019 GRADO EN MEDICINA (0212),5.95,,6.576,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-0624-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0624-grado-en-psicologia,,12,2,57,13,58,8.338,69,6.161,10.05,Indicadores DemandaUniversitaria 2019 GRADO EN PSICOLOGÍA (0624),5.3,,10.614,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-1006-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1006-grado-en-veterinaria,,30,2,70,31,72,7.6,101,9.456,10.383,Indicadores DemandaUniversitaria 2019 GRADO EN VETERINARIA (1006),6.375,,8.33,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,6.5,106,1,144,109,147,7.341,255,,5.027,Indicadores DemandaUniversitaria 2019 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),8.25,,8.027,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,5,28,1,67,28,72,8.51,99,,9.284,Indicadores DemandaUniversitaria 2019 GRADO EN ENFERMERÍA (CÁCERES) (1305),7.3,,5.65,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-0716-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,,20,1,110,20,111,6.551,130,,5.018,Indicadores DemandaUniversitaria 2019 GRADO EN EDUCACIÓN INFANTIL (CÁCERES) (0716),5.88,,7.798,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-0310-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0310-grado-en-criminologia,9,5,,14,18,16,7.759,34,,9.55,Indicadores DemandaUniversitaria 2019 GRADO EN CRIMINOLOGÍA (0310),6.025,,7.11,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-1306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1306-grado-en-terapia-ocupacional,,9,3,55,9,56,,62,,7.043,Indicadores DemandaUniversitaria 2019 GRADO EN TERAPIA OCUPACIONAL (1306),5.025,,5.672,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-0616-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0616-grado-en-educacion-infantil-badajoz,,6,1,108,6,109,,114,,5.239,Indicadores DemandaUniversitaria 2019 GRADO EN EDUCACIÓN INFANTIL (BADAJOZ) (0616),,,5.134,2018-2019
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2019-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,71,1,63,72,63,,134,,5.514,Indicadores DemandaUniversitaria 2019 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),,,6.66,2018-2019
