uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1813-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1813-grado-en-ingenieria-de-las-industrias-agrarias-y-alimentarias,,16,1,4,16,4,,19,,5.05,Indicadores DemandaUniversitaria 2024 GRADO EN INGENIERÍA DE LAS INDUSTRIAS AGRARIAS Y ALIMENTARIAS (1813),6.7,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1890-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1890-doble-grado-en-educacion-primaria-y-educacion-infantil,,2,,5,2,5,,7,,6.5,Indicadores DemandaUniversitaria 2024 DOBLE GRADO EN EDUCACIÓN PRIMARIA / EDUCACIÓN INFANTIL (1890),,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-7002-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/7002-mu-en-endoscopia-y-cirugia-de-minima-invasion-en-pequenos-animales,,12,10,6,12,6,6.26,8,,,Indicadores DemandaUniversitaria 2024 MÁSTER UNIVERSITARIO EN ENDOSCOPIA Y CIRUGÍA DE MÍNIMA INVASIÓN EN PEQUEÑOS ANIMALES (7002),,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1812-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/1812-mu-en-psicopedagogia,,,1,15,,15,7.388,14,,,Indicadores DemandaUniversitaria 2024 MÁSTER UNIVERSITARIO EN PSICOPEDAGOGÍA (1812),,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1410-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/1410-mu-en-investigacion-en-ciencias-sociales,,,,1,,1,7.672,1,,,Indicadores DemandaUniversitaria 2024 MÁSTER UNIVERSITARIO EN INVESTIGACIÓN EN CIENCIAS SOCIALES. (1410),,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0624-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0624-grado-en-psicologia,,17,2,53,19,55,8.75,72,9.753,11.474,Indicadores DemandaUniversitaria 2024 GRADO EN PSICOLOGÍA (0624),5.04,,9.623,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1210-grado-en-enfermeria-plasencia,8.75,16,1,84,16,85,9.25,100,,10.77,Indicadores DemandaUniversitaria 2024 GRADO EN ENFERMERÍA (PLASENCIA) (1210),7.55,,8,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0616-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0616-grado-en-educacion-infantil-badajoz,,14,,125,14,127,7.215,141,,5.028,Indicadores DemandaUniversitaria 2024 GRADO EN EDUCACIÓN INFANTIL (BADAJOZ) (0616),7.5,,6.583,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1209-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1209-grado-en-administracion-y-direccion-de-empresas-plasencia,,11,2,9,11,9,,18,,5.602,Indicadores DemandaUniversitaria 2024 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (PLASENCIA) (1209),6.08,,6.2,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,64,,76,69,83,8.17,152,11.242,7.653,Indicadores DemandaUniversitaria 2024 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),,,7.473,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0306-grado-en-derecho,,33,3,77,43,85,7.8,125,,5.27,Indicadores DemandaUniversitaria 2024 GRADO EN DERECHO (0306),,,6.303,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1211-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1211-grado-en-ingenieria-forestal-y-del-medio-natural,,23,1,9,24,9,7.6,32,,5.53,Indicadores DemandaUniversitaria 2024 GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL (1211),,,6.56,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0120-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0120-grado-en-biologia,,33,6,66,33,66,,93,,6.54,Indicadores DemandaUniversitaria 2024 GRADO EN BIOLOGÍA (0120),,,9.841,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1197-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1197-doble-grado-en-administracion-y-direccion-de-empresas-y-economia,,28,1,22,29,22,,50,,9.091,Indicadores DemandaUniversitaria 2024 DOBLE GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS / ECONOMÍA (1197),,,9.318,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1306-grado-en-terapia-ocupacional,,13,,52,13,52,,65,,9.2,Indicadores DemandaUniversitaria 2024 GRADO EN TERAPIA OCUPACIONAL (1306),,,6.2,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1632-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1632-grado-en-ingenieria-informatica-en-ingenieria-del-software,,67,,10,69,11,,80,,9.677,Indicadores DemandaUniversitaria 2024 GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE (1632),,,9.25,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1792-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1792-pceo-periodismo-y-comunicacion-audiovisual,,6,,14,6,14,,20,,9.889,Indicadores DemandaUniversitaria 2024 DOBLE GRADO EN PERIODISMO / COMUNICACIÓN AUDIOVISUAL (1792),,,7.606,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1117-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1117-grado-en-relaciones-laborales-y-recursos-humanos,,16,1,27,20,29,7.462,48,,5.91,Indicadores DemandaUniversitaria 2024 GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (1117),5,6.57,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1112-grado-en-administracion-y-direccion-de-empresas-badajoz,,62,5,41,70,48,,113,,5.458,Indicadores DemandaUniversitaria 2024 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (BADAJOZ) (1112),,6.98,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0210-grado-en-enfermeria-badajoz,5.5,14,1,65,14,67,8.97,80,9.829,11.634,Indicadores DemandaUniversitaria 2024 GRADO EN ENFERMERÍA (BADAJOZ) (0210),8.35,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,7,44,3,88,45,90,9.55,132,10.332,12.909,Indicadores DemandaUniversitaria 2024 GRADO EN MEDICINA (0212),7.9,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0216-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0216-grado-en-fisioterapia,,32,1,33,37,37,8.52,73,7.45,10.45,Indicadores DemandaUniversitaria 2024 GRADO EN FISIOTERAPIA (0216),7.2,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1006-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1006-grado-en-veterinaria,,26,2,67,27,68,8.79,93,10.612,11.243,Indicadores DemandaUniversitaria 2024 GRADO EN VETERINARIA (1006),5.23,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,7,21,,72,23,73,8.85,96,7.805,10.943,Indicadores DemandaUniversitaria 2024 GRADO EN ENFERMERÍA (CÁCERES) (1305),6.75,,,2023-2024
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2024-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,,124,2,150,126,154,7.97,278,,5.575,Indicadores DemandaUniversitaria 2024 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),5.13,,,2023-2024
