uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0111-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Ingenieria/0111-ingenieria-quimica,,14,,19,14,21,,,,,Indicadores DemandaUniversitaria 2008 INGENIERÍA QUIMICA (0111),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0112-licenciado-en-fisica-plan-1999,,3,,4,3,4,,,,,Indicadores DemandaUniversitaria 2008 LICENCIADO EN FISICA (PLAN 1999) (0112),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0113-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0113-licenciatura-en-quimica-plan-1998,,16,,16,16,16,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN QUIMICA (PLAN 1998) (0113),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0114-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0114-licenciatura-en-matematicas-plan-1998,,3,,3,3,6,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN MATEMATICAS (PLAN 1998) (0114),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0115-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0115-licenciatura-en-enologia,,1,,2,1,4,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN ENOLOGIA (0115),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0116-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0116-licenciatura-en-ciencias-ambientales,,19,,17,20,21,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN CIENCIAS AMBIENTALES (0116),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0117-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0117-licenciatura-en-ciencias-y-tecnicas-estadisticas,,2,,3,2,3,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN CIENCIAS Y TECNICAS ESTADISTICAS (0117),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0118-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0118-licenciatura-en-biologia-plan-1999,,23,,56,26,60,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN BIOLOGIA (PLAN 1999) (0118),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0204-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Diplomatura/0204-diplomatura-en-fisioterapia,,16,,47,16,48,,,,,Indicadores DemandaUniversitaria 2008 DIPLOMATURA EN FISIOTERAPIA (0204),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0205-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0205-licenciado-en-medicina,,42,,86,44,91,,,,,Indicadores DemandaUniversitaria 2008 LICENCIADO EN MEDICINA (0205),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0206-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Diplomatura/0206-diplomado-en-enfermeria-plan-1999-badajoz-fac-medicina,,8,,31,8,36,,,,,Indicadores DemandaUniversitaria 2008 DIPLOMADO EN ENFERMERÍA (PLAN 1999) - BADAJOZ - FAC. MEDICINA (0206),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0303-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Diplomatura/0303-diplomado-en-gestion-y-administracion-publica-plan-1998,,17,,25,20,32,,,,,Indicadores DemandaUniversitaria 2008 DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (PLAN 1998) (0303),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0304-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0304-licenciado-en-derecho-plan-1998,,56,,75,67,81,,,,,Indicadores DemandaUniversitaria 2008 LICENCIADO EN DERECHO (PLAN 1998) (0304),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0409-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0409-licenciatura-en-filologia-francesa-plan-1998,,1,,5,5,6,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN FILOLOGÍA FRANCESA (PLAN 1998) (0409),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0413-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0413-licenciatura-en-filologia-inglesa-plan-1998,,8,,19,8,20,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN FILOLOGÍA INGLESA (PLAN 1998) (0413),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0414-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0414-licenciatura-en-filologia-hispanica-plan-1998,,2,,11,2,11,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN FILOLOGÍA HISPÁNICA (PLAN 1998) (0414),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0415-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0415-licenciatura-en-filologia-clasica-plan-1998,,3,,7,3,7,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN FILOLOGÍA CLÁSICA (PLAN 1998) (0415),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0416-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0416-licenciatura-en-historia-plan-1998,,31,,19,33,19,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN HISTORIA (PLAN 1998) (0416),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0417-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0417-licenciatura-en-humanidades-plan-1998,,1,,1,5,8,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN HUMANIDADES (PLAN 1998) (0417),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0418-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0418-licenciatura-en-geografia-plan-1998,,10,,4,10,4,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN GEOGRAFÍA (PLAN 1998) (0418),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0419-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0419-licenciatura-en-historia-del-arte-plan-1998,,5,,17,6,18,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN HISTORIA DEL ARTE (PLAN 1998) (0419),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0420-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0420-licenciatura-en-filologia-portuguesa-plan-1998,,1,,1,2,3,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN FILOLOGÍA PORTUGUESA (PLAN 1998) (0420),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0421-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0421-licenciatura-en-teoria-de-la-literatura-y-literatura-comparada-plan-1998,,8,,5,8,5,,,,,Indicadores DemandaUniversitaria 2008 LICENCIATURA EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA (PLAN 1998) (0421),,,,2007-2008

http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0506-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Licenciatura/0506-licenciado-en-ciencia-y-tecnologia-de-los-alimentos,,2,,2,2,2,,,,,Indicadores DemandaUniversitaria 2008 LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS (0506),,,,2007-2008


http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0509-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Ingenieria/0509-ingeniero-agronomo-plan-1998,,15,,13,26,17,,,,,Indicadores DemandaUniversitaria 2008 INGENIERO AGRÓNOMO (PLAN 1998) (0509),,,,2007-2008
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2008-0608-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Maestro/0608-maestro-especialidad-de-educacion-primaria-plan-1999-badajoz,,31,,54,32,55,,,,,Indicadores DemandaUniversitaria 2008 MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA (PLAN 1999) BADAJOZ (0608),,,,2007-2008
