uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-1813-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1813-grado-en-ingenieria-de-las-industrias-agrarias-y-alimentarias,6.25,16,1,6,16,7,7.931,22,,5,Indicadores DemandaUniversitaria 2023 GRADO EN INGENIERÍA DE LAS INDUSTRIAS AGRARIAS Y ALIMENTARIAS (1813),,,,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-1890-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1890-doble-grado-en-educacion-primaria-y-educacion-infantil,,4,,8,4,8,,12,,6.701,Indicadores DemandaUniversitaria 2023 DOBLE GRADO EN EDUCACIÓN PRIMARIA / EDUCACIÓN INFANTIL (1890),,,,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-7002-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/7002-mu-en-endoscopia-y-cirugia-de-minima-invasion-en-pequenos-animales,,7,6,3,7,3,5,4,,,Indicadores DemandaUniversitaria 2023 MÁSTER UNIVERSITARIO EN ENDOSCOPIA Y CIRUGÍA DE MÍNIMA INVASIÓN EN PEQUEÑOS ANIMALES (7002),,,,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-1812-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/1812-mu-en-psicopedagogia,,3,,47,3,47,5,50,,,Indicadores DemandaUniversitaria 2023 MÁSTER UNIVERSITARIO EN PSICOPEDAGOGÍA (1812),,,,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,44,11,88,44,90,9.64,123,11.847,13.026,Indicadores DemandaUniversitaria 2023 GRADO EN MEDICINA (0212),5.65,,5.8,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,56,2,84,64,91,8.028,153,10.489,7.6,Indicadores DemandaUniversitaria 2023 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),5.74,,8.043,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,9.5,22,,70,23,71,9.19,94,9.313,11.173,Indicadores DemandaUniversitaria 2023 GRADO EN ENFERMERÍA (CÁCERES) (1305),7.38,,7.69,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-0624-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0624-grado-en-psicologia,,10,2,59,11,61,,70,9.902,11.018,Indicadores DemandaUniversitaria 2023 GRADO EN PSICOLOGÍA (0624),6.43,,8.368,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-0210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0210-grado-en-enfermeria-badajoz,7.25,17,1,63,17,65,8.84,81,,11.71,Indicadores DemandaUniversitaria 2023 GRADO EN ENFERMERÍA (BADAJOZ) (0210),7.4,,7.122,2022-2023
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2023-1632-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1632-grado-en-ingenieria-informatica-en-ingenieria-del-software,,71,2,8,74,8,7.47,80,,8.523,Indicadores DemandaUniversitaria 2023 GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE (1632),,,5.589,2022-2023
