uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,29,7,90,31,94,9.08,118,7.26,12.306,Indicadores DemandaUniversitaria 2015 GRADO EN MEDICINA (0212),7.75,,6.9,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-0903-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0903-grado-en-ciencias-de-la-actividad-fisica-y-del-deporte,,74,1,15,79,15,,93,5.922,8.98,Indicadores DemandaUniversitaria 2015 GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE (0903),6.225,,11.543,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-0306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0306-grado-en-derecho,6.5,41,4,57,49,62,8.403,99,,6.792,Indicadores DemandaUniversitaria 2015 GRADO EN DERECHO (0306),5,,6.226,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,,103,,167,106,174,7.107,280,,5,Indicadores DemandaUniversitaria 2015 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),5.975,,5.8,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-0716-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,,10,,129,10,132,8.653,142,,5.058,Indicadores DemandaUniversitaria 2015 GRADO EN EDUCACIÓN INFANTIL (CÁCERES) (0716),5.5,,5.374,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-1306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1306-grado-en-terapia-ocupacional,,15,1,49,15,50,,64,,6.5,Indicadores DemandaUniversitaria 2015 GRADO EN TERAPIA OCUPACIONAL (1306),7.55,,6.29,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-0121-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0121-grado-en-ciencias-ambientales,,20,,17,20,17,,37,,5.54,Indicadores DemandaUniversitaria 2015 GRADO EN CIENCIAS AMBIENTALES (0121),5.952,,7.958,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-0715-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0715-grado-en-educacion-social,,13,,72,14,72,,86,,6.904,Indicadores DemandaUniversitaria 2015 GRADO EN EDUCACIÓN SOCIAL (0715),5.525,,6.92,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-1514-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1514-grado-en-ingenieria-informatica-en-tecnologias-de-la-informacion,,25,,4,38,8,,47,,5.071,Indicadores DemandaUniversitaria 2015 GRADO EN INGENIERÍA INFORMÁTICA EN TECNOLOGÍAS DE LA INFORMACIÓN (1514),,,7.386,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-1411-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1411-grado-en-finanzas-y-contabilidad,,28,,24,28,24,8.6,52,,5.138,Indicadores DemandaUniversitaria 2015 GRADO EN FINANZAS Y CONTABILIDAD (1411),6.325,5.55,,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-1706-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1706-grado-en-informacion-y-documentacion,,15,,17,21,32,5,52,,5,Indicadores DemandaUniversitaria 2015 GRADO EN INFORMACIÓN Y DOCUMENTACIÓN (1706),,6.85,,2014-2015
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2015-1408-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1408-grado-en-turismo,,18,2,20,19,20,,36,,5.01,Indicadores DemandaUniversitaria 2015 GRADO EN TURISMO (1408),,7.33,,2014-2015
