uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,5.5,70,5,67,71,72,8.723,138,7.5,12.028,Indicadores DemandaUniversitaria 2014 GRADO EN MEDICINA (0212),5.025,,7.3,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0211-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0211-grado-en-fisioterapia,,22,1,43,25,49,8.1,73,6.592,10.794,Indicadores DemandaUniversitaria 2014 GRADO EN FISIOTERAPIA (0211),6.75,,6.3,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,109,1,99,132,154,6.66,285,6.814,5.076,Indicadores DemandaUniversitaria 2014 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),5.125,,5.376,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0903-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0903-grado-en-ciencias-de-la-actividad-fisica-y-del-deporte,,73,1,18,77,19,,95,5.3,8.748,Indicadores DemandaUniversitaria 2014 GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE (0903),5,,7.36,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,5,98,1,176,111,209,5.36,319,,5.003,Indicadores DemandaUniversitaria 2014 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),5.6,,5.014,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0306-grado-en-derecho,8.25,43,,53,48,56,7.912,108,,6.814,Indicadores DemandaUniversitaria 2014 GRADO EN DERECHO (0306),5.74,,6.736,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0715-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0715-grado-en-educacion-social,5.75,8,,75,12,103,7.026,115,,6.75,Indicadores DemandaUniversitaria 2014 GRADO EN EDUCACIÓN SOCIAL (0715),5.2,,5.65,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0125-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0125-grado-en-quimica,,22,,22,23,24,,47,,5.04,Indicadores DemandaUniversitaria 2014 GRADO EN QUÍMICA (0125),,,5.082,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0210-grado-en-enfermeria-badajoz,,21,1,58,34,91,7.932,124,,10.13,Indicadores DemandaUniversitaria 2014 GRADO EN ENFERMERÍA (BADAJOZ) (0210),7.825,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0424-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0424-grado-en-estudios-ingleses,,10,1,34,11,35,7.265,45,,6.724,Indicadores DemandaUniversitaria 2014 GRADO EN ESTUDIOS INGLESES (0424),7.7,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0716-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,,13,,124,14,157,6.655,171,,5,Indicadores DemandaUniversitaria 2014 GRADO EN EDUCACIÓN INFANTIL (CÁCERES) (0716),5.135,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0818-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0818-grado-en-ingenieria-mecanica-rama-industrial,,62,,11,106,31,7.37,137,,8.092,Indicadores DemandaUniversitaria 2014 GRADO EN INGENIERÍA MECÁNICA (RAMA INDUSTRIAL) (0818),6.47,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0426-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0426-grado-en-filologia-hispanica,,12,2,28,14,29,,41,,5.75,Indicadores DemandaUniversitaria 2014 GRADO EN FILOLOGÍA HISPÁNICA (0426),5.875,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0516-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0516-grado-en-ciencia-y-tecnologia-de-los-alimentos,,11,,33,11,33,,44,,5.178,Indicadores DemandaUniversitaria 2014 GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS (0516),5.05,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0816-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0816-grado-en-ingenieria-electrica-rama-industrial,,58,3,11,101,25,,124,11.236,5.04,Indicadores DemandaUniversitaria 2014 GRADO EN INGENIERÍA ELÉCTRICA (RAMA INDUSTRIAL) (0816),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0616-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0616-grado-en-educacion-infantil-badajoz,7.5,14,1,121,14,130,7.23,143,,5.01,Indicadores DemandaUniversitaria 2014 GRADO EN EDUCACIÓN INFANTIL (BADAJOZ) (0616),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0124-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0124-grado-en-matematicas,,16,1,19,16,19,5.63,34,,5.358,Indicadores DemandaUniversitaria 2014 GRADO EN MATEMÁTICAS (0124),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0130-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0130-grado-en-enologia,,7,,6,7,6,6,13,,5.008,Indicadores DemandaUniversitaria 2014 GRADO EN ENOLOGÍA (0130),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0390-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0390-pceo-derecho-y-administracion-y-direccion-de-empresas,,24,,26,24,26,6.605,50,,6.814,Indicadores DemandaUniversitaria 2014 PCEO: DERECHO / ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (0390),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0429-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0429-grado-en-historia-del-arte-y-patrimonio-historico-artistico,,9,,21,11,24,7.394,35,,5.292,Indicadores DemandaUniversitaria 2014 GRADO EN HISTORIA DEL ARTE Y PATRIMONIO HISTÓRICO-ARTÍSTICO (0429),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0431-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0431-grado-en-lenguas-y-literaturas-modernas-portugues,,3,,13,3,14,6.7,17,,5.5,Indicadores DemandaUniversitaria 2014 GRADO EN LENGUAS Y LITERATURAS MODERNAS - PORTUGUÉS (0431),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0511-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0511-grado-en-ingenieria-de-las-explotaciones-agropecuarias,,44,,19,74,35,6.618,109,,5.02,Indicadores DemandaUniversitaria 2014 GRADO EN INGENIERÍA DE LAS EXPLOTACIONES AGROPECUARIAS (0511),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0513-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0513-grado-en-ingenieria-hortofruticola-y-jardineria,,17,,13,20,15,5.89,35,,5.01,Indicadores DemandaUniversitaria 2014 GRADO EN INGENIERÍA HORTOFRUTÍCOLA Y JARDINERÍA (0513),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0817-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0817-grado-en-ingenieria-electronica-y-automatica-rama-industrial,,68,,6,110,15,9.1,125,,5.068,Indicadores DemandaUniversitaria 2014 GRADO EN INGENIERÍA ELECTRÓNICA Y AUTOMÁTICA (RAMA INDUSTRIAL) (0817),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0120-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0120-grado-en-biologia,,44,1,72,52,75,,126,,5.076,Indicadores DemandaUniversitaria 2014 GRADO EN BIOLOGÍA (0120),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0121-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0121-grado-en-ciencias-ambientales,,20,1,22,21,22,,42,,5.29,Indicadores DemandaUniversitaria 2014 GRADO EN CIENCIAS AMBIENTALES (0121),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0122-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0122-grado-en-fisica,,22,2,9,22,9,,29,,5.514,Indicadores DemandaUniversitaria 2014 GRADO EN FÍSICA (0122),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0305-grado-en-administracion-y-gestion-publica,,33,1,27,34,27,,60,,5.004,Indicadores DemandaUniversitaria 2014 GRADO EN ADMINISTRACIÓN Y GESTIÓN PÚBLICA (0305),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0427-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0427-grado-en-geografia-y-ordenacion-del-territorio,,14,1,7,15,7,,21,,5.154,Indicadores DemandaUniversitaria 2014 GRADO EN GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO (0427),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0129-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0129-grado-en-estadistica,,3,,2,3,3,,6,,6.61,Indicadores DemandaUniversitaria 2014 GRADO EN ESTADÍSTICA (0129),,,,2013-2014
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2014-0131-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0131-grado-en-ingenieria-quimica-industrial,,20,,7,21,9,,30,,5.151,Indicadores DemandaUniversitaria 2014 GRADO EN INGENIERÍA QUÍMICA INDUSTRIAL (0131),,,,2013-2014
