uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1113-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1113-grado-en-relaciones-laborales-y-recursos-humanos,,21,,40,24,42,,66,,5.05,Indicadores DemandaUniversitaria 2011 GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (1113),6.725,6.36,7.18,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,43,6,96,47,102,8.611,143,10.15,11.236,Indicadores DemandaUniversitaria 2011 GRADO EN MEDICINA (0212),8.725,,10.95,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,110,1,137,110,138,6.191,247,6.742,5.01,Indicadores DemandaUniversitaria 2011 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),5.35,,5.014,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0903-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0903-grado-en-ciencias-de-la-actividad-fisica-y-del-deporte,,74,1,16,74,16,,89,7.222,8.263,Indicadores DemandaUniversitaria 2011 GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE (0903),5,,9.124,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0306-grado-en-derecho,5.75,64,1,82,64,86,7,149,,5.15,Indicadores DemandaUniversitaria 2011 GRADO EN DERECHO (0306),5.825,,5.5,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1210-grado-en-enfermeria-plasencia,7.5,28,2,72,28,72,7,98,,7.2,Indicadores DemandaUniversitaria 2011 GRADO EN ENFERMERÍA (PLASENCIA) (1210),8.5,,6.625,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1511-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1511-grado-en-enfermeria-merida,,9,1,46,9,49,8.66,57,,7.328,Indicadores DemandaUniversitaria 2011 GRADO EN ENFERMERÍA (MÉRIDA) (1511),7.775,,7.36,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0210-grado-en-enfermeria-badajoz,,8,,29,8,30,7.402,38,,8.708,Indicadores DemandaUniversitaria 2011 GRADO EN ENFERMERÍA (BADAJOZ) (0210),7.85,,8.85,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0716-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,,12,,157,12,157,6.155,169,,5.01,Indicadores DemandaUniversitaria 2011 GRADO EN EDUCACIÓN INFANTIL (CÁCERES) (0716),5,,6.542,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1006-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1006-grado-en-veterinaria,,37,2,63,40,64,,102,,8,Indicadores DemandaUniversitaria 2011 GRADO EN VETERINARIA (1006),6.275,,6.358,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1704-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1704-grado-en-comunicacion-audiovisual,,52,1,37,52,37,,88,,6.44,Indicadores DemandaUniversitaria 2011 GRADO EN COMUNICACIÓN AUDIOVISUAL (1704),8.2,,7.15,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0305-grado-en-administracion-y-gestion-publica,,17,,22,17,22,6.417,39,,5.007,Indicadores DemandaUniversitaria 2011 GRADO EN ADMINISTRACIÓN Y GESTIÓN PÚBLICA (0305),,,8.8,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1112-grado-en-administracion-y-direccion-de-empresas-badajoz,,141,4,110,141,111,7.129,248,,5.004,Indicadores DemandaUniversitaria 2011 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (BADAJOZ) (1112),5.525,7.15,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1407-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1407-grado-en-administracion-y-direccion-de-empresas-caceres,,94,2,70,95,72,,165,,5.076,Indicadores DemandaUniversitaria 2011 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CÁCERES) (1407),7,6.11,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1114-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1114-grado-en-economia,,20,1,16,20,16,6.67,35,,5.25,Indicadores DemandaUniversitaria 2011 GRADO EN ECONOMÍA (1114),,5.6,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1706-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1706-grado-en-informacion-y-documentacion,,23,,26,27,35,6.546,62,,5.07,Indicadores DemandaUniversitaria 2011 GRADO EN INFORMACIÓN Y DOCUMENTACIÓN (1706),,5.01,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0816-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0816-grado-en-ingenieria-electrica-rama-industrial,,61,2,10,61,10,,69,,5.328,Indicadores DemandaUniversitaria 2011 GRADO EN INGENIERÍA ELÉCTRICA (RAMA INDUSTRIAL) (0816),,6.8,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0817-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0817-grado-en-ingenieria-electronica-y-automatica-rama-industrial,,59,2,10,62,10,,70,,5.23,Indicadores DemandaUniversitaria 2011 GRADO EN INGENIERÍA ELECTRÓNICA Y AUTOMÁTICA (RAMA INDUSTRIAL) (0817),,7.4,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1807-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1807-grado-en-trabajo-social,,7,1,14,18,53,,70,,5.14,Indicadores DemandaUniversitaria 2011 GRADO EN TRABAJO SOCIAL (1807),,7.04,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0818-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0818-grado-en-ingenieria-mecanica-rama-industrial,,58,,14,58,14,,72,,7.11,Indicadores DemandaUniversitaria 2011 GRADO EN INGENIERÍA MECÁNICA (RAMA INDUSTRIAL) (0818),,7.16,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1411-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1411-grado-en-finanzas-y-contabilidad,,19,,18,20,17,,37,,5.032,Indicadores DemandaUniversitaria 2011 GRADO EN FINANZAS Y CONTABILIDAD (1411),,6.6,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0211-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0211-grado-en-fisioterapia,6,13,,50,14,51,8.248,65,9.83,7.246,Indicadores DemandaUniversitaria 2011 GRADO EN FISIOTERAPIA (0211),7.75,,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,8.5,18,,78,18,81,7.376,99,6.574,8.176,Indicadores DemandaUniversitaria 2011 GRADO EN ENFERMERÍA (CÁCERES) (1305),8.25,,,2010-2011
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2011-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,,134,2,197,134,197,5,329,,5,Indicadores DemandaUniversitaria 2011 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),5.075,,,2010-2011
