uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0818-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0818-grado-en-ingenieria-mecanica-rama-industrial,,64,2,11,66,12,,76,,5.834,Indicadores DemandaUniversitaria 2017 GRADO EN INGENIERÍA MECÁNICA (RAMA INDUSTRIAL) (0818),,5,5.868,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,35,5,85,37,92,9.39,124,6.506,12.532,Indicadores DemandaUniversitaria 2017 GRADO EN MEDICINA (0212),7.025,,5.904,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-1006-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1006-grado-en-veterinaria,,29,2,70,33,75,8.028,106,10.376,10.581,Indicadores DemandaUniversitaria 2017 GRADO EN VETERINARIA (1006),6.625,,7.004,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,5,22,,72,23,76,8.55,99,8.35,9.806,Indicadores DemandaUniversitaria 2017 GRADO EN ENFERMERÍA (CÁCERES) (1305),8.75,,7.5,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0306-grado-en-derecho,6.75,45,1,48,55,51,8.98,105,,6.594,Indicadores DemandaUniversitaria 2017 GRADO EN DERECHO (0306),5.07,,6.982,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0624-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0624-grado-en-psicologia,,11,1,57,11,57,7.77,67,,9.514,Indicadores DemandaUniversitaria 2017 GRADO EN PSICOLOGÍA (0624),8.35,,5.368,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0424-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0424-grado-en-estudios-ingleses,,10,1,33,10,34,,43,,9.032,Indicadores DemandaUniversitaria 2017 GRADO EN ESTUDIOS INGLESES (0424),5.925,,5.88,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0136-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0136-grado-en-biotecnologia,,21,,23,21,24,,45,,10.54,Indicadores DemandaUniversitaria 2017 GRADO EN BIOTECNOLOGÍA (0136),,,8.01,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-1632-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1632-grado-en-ingenieria-informatica-en-ingenieria-del-software,,76,,2,83,2,,85,,6.225,Indicadores DemandaUniversitaria 2017 GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE (1632),,,6.942,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-1407-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1407-grado-en-administracion-y-direccion-de-empresas-caceres,,67,,51,78,60,7.89,138,,5.018,Indicadores DemandaUniversitaria 2017 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CÁCERES) (1407),6.49,6.49,,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-1112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1112-grado-en-administracion-y-direccion-de-empresas-badajoz,,59,5,45,62,56,,113,,5.026,Indicadores DemandaUniversitaria 2017 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (BADAJOZ) (1112),7,5.2,,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-1209-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1209-grado-en-administracion-y-direccion-de-empresas-plasencia,,18,1,7,19,9,,27,,5.04,Indicadores DemandaUniversitaria 2017 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (PLASENCIA) (1209),5.11,6.68,,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0211-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0211-grado-en-fisioterapia,,25,1,40,26,41,8.77,66,10.364,11.083,Indicadores DemandaUniversitaria 2017 GRADO EN FISIOTERAPIA (0211),8.75,,,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0716-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,,15,1,123,15,123,6.59,137,5.936,5.118,Indicadores DemandaUniversitaria 2017 GRADO EN EDUCACIÓN INFANTIL (CÁCERES) (0716),6.225,,,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,,117,3,158,120,180,7.129,297,,5.01,Indicadores DemandaUniversitaria 2017 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),5,,,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-1411-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1411-grado-en-finanzas-y-contabilidad,,14,2,21,14,21,7.167,33,,5.018,Indicadores DemandaUniversitaria 2017 GRADO EN FINANZAS Y CONTABILIDAD (1411),9.575,,,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-1511-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1511-grado-en-enfermeria-merida,5,9,,45,9,48,8.043,57,,8.6,Indicadores DemandaUniversitaria 2017 GRADO EN ENFERMERÍA (MÉRIDA) (1511),7.6,,,2016-2017
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2017-0511-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0511-grado-en-ingenieria-de-las-explotaciones-agropecuarias,,40,,17,40,17,5,57,,5.004,Indicadores DemandaUniversitaria 2017 GRADO EN INGENIERÍA DE LAS EXPLOTACIONES AGROPECUARIAS (0511),5,,,2016-2017
